video_index,video_id,video_key,model,dimension,n,score_human,sd_human
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,GPT-4.1,relevance,36,74.3056,25.6947
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,Llama 4,accuracy,36,65.2778,26.2391
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,Llama 4,completeness,36,54.1667,25.0
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,Llama 4,conciseness,36,56.25,29.5048
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,Llama 4,relevance,36,61.8056,25.6947
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,SkimCap,accuracy,36,21.5278,27.4856
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,SkimCap,completeness,36,20.8333,27.7102
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,SkimCap,conciseness,36,22.2222,29.7476
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,SkimCap,relevance,36,21.5278,27.4856
7,7ZbH4vHTmVs,7ZbH4vHTmVs,GPT-4.1,accuracy,36,81.25,15.089
7,7ZbH4vHTmVs,7ZbH4vHTmVs,GPT-4.1,completeness,36,79.1667,17.4233
7,7ZbH4vHTmVs,7ZbH4vHTmVs,GPT-4.1,conciseness,36,66.6667,19.8206
7,7ZbH4vHTmVs,7ZbH4vHTmVs,GPT-4.1,relevance,36,70.8333,26.3899
7,7ZbH4vHTmVs,7ZbH4vHTmVs,Llama 4,accuracy,36,50.0,28.6606
7,7ZbH4vHTmVs,7ZbH4vHTmVs,Llama 4,completeness,36,47.2222,28.5218
7,7ZbH4vHTmVs,7ZbH4vHTmVs,Llama 4,conciseness,36,43.0556,25.7814
7,7ZbH4vHTmVs,7ZbH4vHTmVs,Llama 4,relevance,36,47.2222,27.8887
7,7ZbH4vHTmVs,7ZbH4vHTmVs,SkimCap,accuracy,36,15.2778,20.9402
7,7ZbH4vHTmVs,7ZbH4vHTmVs,SkimCap,completeness,36,14.5833,19.2493
7,7ZbH4vHTmVs,7ZbH4vHTmVs,SkimCap,conciseness,36,25.0,29.8807
7,7ZbH4vHTmVs,7ZbH4vHTmVs,SkimCap,relevance,36,22.2222,25.1976
8,rmoa-Ffel2k,rmoa-Ffel2k,GPT-4.1,accuracy,36,84.0278,15.983
8,rmoa-Ffel2k,rmoa-Ffel2k,GPT-4.1,completeness,36,75.6944,23.5176
8,rmoa-Ffel2k,rmoa-Ffel2k,GPT-4.1,conciseness,36,77.7778,22.9734
8,rmoa-Ffel2k,rmoa-Ffel2k,GPT-4.1,relevance,36,73.6111,26.689
8,rmoa-Ffel2k,rmoa-Ffel2k,Llama 4,accuracy,36,14.5833,21.0229
8,rmoa-Ffel2k,rmoa-Ffel2k,Llama 4,completeness,36,21.5278,27.4856
8,rmoa-Ffel2k,rmoa-Ffel2k,Llama 4,conciseness,36,28.4722,28.1278
8,rmoa-Ffel2k,rmoa-Ffel2k,Llama 4,relevance,36,17.3611,26.6052
8,rmoa-Ffel2k,rmoa-Ffel2k,SkimCap,accuracy,36,15.9722,21.6735
8,rmoa-Ffel2k,rmoa-Ffel2k,SkimCap,completeness,36,19.4444,23.9874
8,rmoa-Ffel2k,rmoa-Ffel2k,SkimCap,conciseness,36,25.6944,26.3805
8,rmoa-Ffel2k,rmoa-Ffel2k,SkimCap,relevance,36,15.9722,19.042
9,bXdq2zI1Ms0,bXdq2zI1Ms0,GPT-4.1,accuracy,36,89.5833,15.089
9,bXdq2zI1Ms0,bXdq2zI1Ms0,GPT-4.1,completeness,36,84.7222,18.203
9,bXdq2zI1Ms0,bXdq2zI1Ms0,GPT-4.1,conciseness,36,85.4167,18.2981
9,bXdq2zI1Ms0,bXdq2zI1Ms0,GPT-4.1,relevance,36,87.5,19.3649
9,bXdq2zI1Ms0,bXdq2zI1Ms0,Llama 4,accuracy,36,83.3333,16.9031
