family,variable,n_blocks,chi_square,p_value,kendalls_w,expected_n_blocks,alpha,significant,direction
human,accuracy,10,16.200000000000017,0.000303539138078864,0.8100000000000008,10,0.05,yes,higher_better
human,completeness,10,16.200000000000017,0.000303539138078864,0.8100000000000008,10,0.05,yes,higher_better
human,conciseness,10,17.897435897435916,0.00012990359640529617,0.8948717948717958,10,0.05,yes,higher_better
human,relevance,10,16.80000000000001,0.00022486732417884692,0.8400000000000005,10,0.05,yes,higher_better
human,mean_accr,10,17.897435897435916,0.00012990359640529617,0.8948717948717958,10,0.05,yes,higher_better
