video_index,video_id,video_key,model,dimension,n,score_human,sd_human,auto_video_id,Bleu_4,ROUGE_L,CIDEr,METEOR,R@4
3,VtIMPJjcdn4,VtIMPJjcdn4,SkimCap,relevance,36,11.1111,18.3658,v_VtIMPJjcdn4,30.1656,52.6663,64.7667,60.0298,0.0
4,rMZtiiLAqoY,rMZtiiLAqoY,GPT-4.1,accuracy,36,59.0278,28.1278,v_rMZtiiLAqoY,0.001,25.8708,15.104,21.2014,0.0
4,rMZtiiLAqoY,rMZtiiLAqoY,GPT-4.1,completeness,36,40.9722,28.7556,v_rMZtiiLAqoY,0.001,25.8708,15.104,21.2014,0.0
4,rMZtiiLAqoY,rMZtiiLAqoY,GPT-4.1,conciseness,36,54.1667,28.3473,v_rMZtiiLAqoY,0.001,25.8708,15.104,21.2014,0.0
4,rMZtiiLAqoY,rMZtiiLAqoY,GPT-4.1,relevance,36,50.6944,30.756,v_rMZtiiLAqoY,0.001,25.8708,15.104,21.2014,0.0
4,rMZtiiLAqoY,rMZtiiLAqoY,Llama 4,accuracy,36,30.5556,27.4585,v_rMZtiiLAqoY,0.0,15.9895,0.0917,9.0416,3.4483
4,rMZtiiLAqoY,rMZtiiLAqoY,Llama 4,completeness,36,15.9722,18.08,v_rMZtiiLAqoY,0.0,15.9895,0.0917,9.0416,3.4483
4,rMZtiiLAqoY,rMZtiiLAqoY,Llama 4,conciseness,36,28.4722,25.462,v_rMZtiiLAqoY,0.0,15.9895,0.0917,9.0416,3.4483
4,rMZtiiLAqoY,rMZtiiLAqoY,Llama 4,relevance,36,20.8333,20.2661,v_rMZtiiLAqoY,0.0,15.9895,0.0917,9.0416,3.4483
4,rMZtiiLAqoY,rMZtiiLAqoY,SkimCap,accuracy,36,6.25,13.8551,v_rMZtiiLAqoY,17.3322,35.9157,10.7621,35.8622,0.0
4,rMZtiiLAqoY,rMZtiiLAqoY,SkimCap,completeness,36,6.9444,14.1562,v_rMZtiiLAqoY,17.3322,35.9157,10.7621,35.8622,0.0
4,rMZtiiLAqoY,rMZtiiLAqoY,SkimCap,conciseness,36,14.5833,22.6582,v_rMZtiiLAqoY,17.3322,35.9157,10.7621,35.8622,0.0
4,rMZtiiLAqoY,rMZtiiLAqoY,SkimCap,relevance,36,2.7778,9.9602,v_rMZtiiLAqoY,17.3322,35.9157,10.7621,35.8622,0.0
5,bvnXdr-Hre4,bvnXdr-Hre4,GPT-4.1,accuracy,36,60.4167,26.9755,v_bvnXdr-Hre4,0.0009,23.6893,2.341,21.2014,0.0
5,bvnXdr-Hre4,bvnXdr-Hre4,GPT-4.1,completeness,36,55.5556,23.9874,v_bvnXdr-Hre4,0.0009,23.6893,2.341,21.2014,0.0
5,bvnXdr-Hre4,bvnXdr-Hre4,GPT-4.1,conciseness,36,60.4167,26.3052,v_bvnXdr-Hre4,0.0009,23.6893,2.341,21.2014,0.0
5,bvnXdr-Hre4,bvnXdr-Hre4,GPT-4.1,relevance,36,61.1111,27.6744,v_bvnXdr-Hre4,0.0009,23.6893,2.341,21.2014,0.0
